Zachos Time delta_18O(Myr BP),Zachos Time delta_18O(0/00),Time delta_18O(Myr BP),Time delta_18O(0/00),Tdo(C),Ts(C),SL(m)
7.336,2.8,7.3383,2.642,2.62,17.77,24.3
7.342,2.93,7.3427,2.628,2.66,17.81,24.9
7.347,2.45,7.3513,2.636,2.64,17.79,24.6
7.353,2.51,7.3644,2.61,2.71,17.86,25.6
7.3787,2.49,7.3763,2.548,2.87,18.02,28.1
7.4011,2.67,7.3873,2.544,2.88,18.03,28.2
7.4018,2.62,7.4017,2.548,2.87,18.02,28.1
7.4019,2.43,7.4112,2.674,2.54,17.69,23
7.425,2.53,7.4278,2.662,2.57,17.72,23.5
7.4263,3.12,7.446,2.668,2.55,17.7,23.3
7.4839,2.61,7.4763,2.784,2.24,17.39,18.6
7.4927,2.65,7.502,2.824,2.14,17.29,17
7.5536,3.01,7.5333,2.734,2.38,17.53,20.6
7.5536,2.73,7.5642,2.702,2.46,17.61,21.9
7.5828,2.67,7.603,2.732,2.38,17.53,20.7
7.6382,2.45,7.6309,2.73,2.39,17.54,20.8
7.6869,2.8,7.6607,2.714,2.43,17.58,21.4
7.6929,3,7.6913,2.734,2.38,17.53,20.6
7.7029,2.65,7.7241,2.846,2.08,17.23,16.2
7.7355,2.77,7.7492,2.852,2.06,17.21,15.9
7.8024,3.01,7.7786,2.762,2.3,17.45,19.5
7.8124,2.83,7.8129,2.768,2.29,17.44,19.3
7.8396,2.55,7.8486,2.724,2.4,17.55,21
7.8747,2.68,7.8769,2.628,2.66,17.81,24.9
7.9141,2.55,7.9166,2.588,2.77,17.92,26.5
7.9436,2.53,7.9519,2.678,2.53,17.68,22.9
8.011,2.63,7.9813,2.728,2.39,17.54,20.9
8.016,3,8.0037,2.772,2.27,17.42,19.1
8.022,2.93,8.0214,2.868,2.02,17.17,15.3
8.026,2.77,8.0268,2.938,1.83,16.98,12.5
8.032,3.01,8.0324,2.93,1.85,17,12.8
8.038,2.98,8.0376,2.958,1.78,16.93,11.7
8.044,2.96,8.0432,2.99,1.69,16.84,10.4
8.048,3.07,8.0486,2.98,1.72,16.87,10.8
8.054,2.93,8.0538,2.986,1.7,16.85,10.6
8.059,2.96,8.059,3.014,1.63,16.78,9.4
8.064,3.01,8.0644,3.024,1.6,16.75,9
8.07,3.1,8.0749,2.986,1.7,16.85,10.6
8.075,3.12,8.0853,2.87,2.01,17.16,15.2
8.1066,2.74,8.0961,2.872,2.01,17.16,15.1
8.1111,2.38,8.1081,2.86,2.04,17.19,15.6
8.118,3.02,8.1213,2.96,1.77,16.92,11.6
8.13,3.04,8.131,3.012,1.63,16.78,9.5
8.141,3.62,8.1422,3.106,1.38,16.53,5.8
8.155,3,8.1544,3.104,1.39,16.54,5.8
8.167,2.85,8.1644,3.028,1.59,16.74,8.9
8.179,3.01,8.1748,2.912,1.9,17.05,13.5
8.18,2.66,8.1848,2.914,1.9,17.05,13.4
8.193,3.04,8.1929,2.924,1.87,17.02,13
8.205,3.01,8.2003,2.882,1.98,17.13,14.7
8.2076,2.9,8.2095,2.876,2,17.15,15
8.216,2.8,8.2167,2.854,2.06,17.21,15.8
8.2259,2.63,8.2239,2.9,1.93,17.08,14
8.229,2.93,8.2308,2.818,2.15,17.3,17.3
8.241,3.24,8.2365,2.8,2.2,17.35,18
8.2421,2.49,8.2419,2.886,1.97,17.12,14.6
8.2443,2.71,8.2468,2.844,2.08,17.23,16.2
8.253,3.06,8.252,2.722,2.41,17.56,21.1
8.2535,2.72,8.2592,2.834,2.11,17.26,16.6
8.267,2.63,8.2685,2.926,1.86,17.01,13
8.278,3.05,8.278,2.79,2.23,17.38,18.4
8.291,3.17,8.2875,2.866,2.02,17.17,15.4
8.3006,2.38,8.2955,2.94,1.83,16.98,12.4
8.301,3.1,8.3016,2.896,1.94,17.09,14.2
8.307,3,8.3054,2.868,2.02,17.17,15.3
8.3086,2.83,8.3081,2.966,1.76,16.91,11.4
8.31,3.03,8.3111,2.936,1.84,16.99,12.6
8.314,2.87,8.3135,2.904,1.92,17.07,13.8
8.316,2.95,8.316,2.936,1.84,16.99,12.6
8.319,2.84,8.3187,2.82,2.15,17.3,17.2
8.321,2.99,8.3209,2.85,2.07,17.22,16
8.3234,2.45,8.3231,2.84,2.09,17.24,16.4
8.325,3.02,8.3253,2.866,2.02,17.17,15.4
8.327,2.9,8.3281,2.856,2.05,17.2,15.8
8.33,2.97,8.3312,2.906,1.92,17.07,13.8
8.335,2.94,8.335,2.856,2.05,17.2,15.8
8.339,2.7,8.3391,2.762,2.3,17.45,19.5
8.344,2.77,8.3492,2.666,2.56,17.71,23.4
8.3476,2.43,8.3586,2.634,2.64,17.79,24.6
8.3803,2.49,8.369,2.636,2.64,17.79,24.6
8.3821,2.78,8.3858,2.642,2.62,17.77,24.3
8.3912,2.71,8.4038,2.728,2.39,17.54,20.9
8.428,2.8,8.4151,2.798,2.21,17.36,18.1
8.4372,2.86,8.4353,2.83,2.12,17.27,16.8
8.4372,2.84,8.4537,2.858,2.05,17.2,15.7
8.4831,2.94,8.4666,2.864,2.03,17.18,15.4
8.4831,2.85,8.478,2.85,2.07,17.22,16
8.4923,2.83,8.4985,2.88,1.99,17.14,14.8
8.4941,2.79,8.5098,2.828,2.13,17.28,16.9
8.5397,2.99,8.5234,2.838,2.1,17.25,16.5
8.5397,2.68,8.5393,2.836,2.1,17.25,16.6
8.551,2.9,8.5572,2.762,2.3,17.45,19.5
8.5718,2.82,8.568,2.716,2.42,17.57,21.4
8.584,2.42,8.5816,2.722,2.41,17.56,21.1
8.5933,2.76,8.5943,2.69,2.49,17.64,22.4
8.6079,2.71,8.6115,2.71,2.44,17.59,21.6
8.6147,2.74,8.6262,2.778,2.26,17.41,18.9
8.6575,2.92,8.6405,2.772,2.27,17.42,19.1
8.6575,2.76,8.6547,2.77,2.28,17.43,19.2
8.6649,2.73,8.6693,2.802,2.19,17.34,17.9
8.6789,2.7,8.68,2.764,2.3,17.45,19.4
8.6876,2.9,8.6998,2.778,2.26,17.41,18.9
8.7111,2.73,8.7262,2.846,2.08,17.23,16.2
8.7565,2.83,8.7561,2.864,2.03,17.18,15.4
8.7967,3.07,8.7886,2.876,2,17.15,15
8.8284,2.79,8.8265,2.9,1.93,17.08,14
8.8503,2.96,8.8578,2.946,1.81,16.96,12.2
8.9004,2.85,8.8814,2.88,1.99,17.14,14.8
8.913,3.06,8.9004,2.874,2,17.15,15
8.9151,2.74,8.9151,2.83,2.12,17.27,16.8
8.9234,2.76,8.9238,2.802,2.19,17.34,17.9
8.9234,2.74,8.9357,2.716,2.42,17.57,21.4
8.9442,2.71,8.9485,2.724,2.4,17.55,21
8.9723,2.63,8.9609,2.714,2.43,17.58,21.4
8.979,2.78,8.9735,2.692,2.49,17.64,22.3
8.9858,2.71,8.983,2.674,2.54,17.69,23
8.986,2.63,8.9884,2.69,2.49,17.64,22.4
8.992,2.62,8.9936,2.682,2.51,17.66,22.7
8.999,2.71,8.9988,2.662,2.57,17.72,23.5
9.005,2.74,9.0054,2.652,2.59,17.74,23.9
9.012,2.61,9.011,2.67,2.55,17.7,23.2
9.019,2.58,9.0162,2.704,2.46,17.61,21.8
9.0202,2.71,9.0214,2.746,2.34,17.49,20.2
9.025,2.88,9.0266,2.824,2.14,17.29,17
9.031,2.95,9.0304,2.912,1.9,17.05,13.5
9.0378,3,9.0339,2.92,1.88,17.03,13.2
9.0378,3.02,9.0377,2.89,1.96,17.11,14.4
9.038,2.75,9.0415,2.892,1.95,17.1,14.3
9.044,2.73,9.0452,2.822,2.14,17.29,17.1
9.05,2.96,9.0493,2.742,2.35,17.5,20.3
9.056,2.65,9.0534,2.752,2.33,17.48,19.9
9.0586,2.62,9.057,2.77,2.28,17.43,19.2
9.0586,2.8,9.0604,2.702,2.46,17.61,21.9
9.062,2.82,9.063,2.738,2.37,17.52,20.5
9.067,2.62,9.0665,2.802,2.19,17.34,17.9
9.069,2.83,9.0718,2.778,2.26,17.41,18.9
9.076,2.94,9.0782,2.758,2.31,17.46,19.7
9.085,2.68,9.0854,2.764,2.3,17.45,19.4
9.094,2.72,9.0925,2.8,2.2,17.35,18
9.103,2.65,9.0982,2.762,2.3,17.45,19.5
9.1046,3.01,9.1036,2.77,2.28,17.43,19.2
9.1046,2.75,9.109,2.782,2.25,17.4,18.7
9.112,2.72,9.1147,2.804,2.19,17.34,17.8
9.121,2.78,9.1232,2.712,2.43,17.58,21.5
9.1312,2.76,9.132,2.78,2.25,17.4,18.8
9.147,2.55,9.1394,2.866,2.02,17.17,15.4
9.149,3.09,9.1455,2.85,2.07,17.22,16
9.149,3.15,9.1501,2.846,2.08,17.23,16.2
9.1515,2.7,9.1529,2.864,2.03,17.18,15.4
9.154,2.74,9.1565,2.796,2.21,17.36,18.2
9.161,2.64,9.1611,2.692,2.49,17.64,22.3
9.167,2.75,9.1664,2.65,2.6,17.75,24
9.172,2.63,9.1722,2.6,2.73,17.88,26
9.178,2.49,9.1778,2.668,2.55,17.7,23.3
9.183,2.49,9.1822,2.698,2.47,17.62,22.1
9.1889,2.98,9.1855,2.658,2.58,17.73,23.7
9.1889,2.9,9.1877,2.678,2.53,17.68,22.9
9.1889,2.43,9.1901,2.718,2.42,17.57,21.3
9.189,2.59,9.1928,2.688,2.5,17.65,22.5
9.195,2.69,9.1968,2.736,2.37,17.52,20.6
9.202,2.83,9.202,2.83,2.12,17.27,16.8
9.209,3.14,9.2074,2.872,2.01,17.16,15.1
9.215,2.9,9.2132,2.936,1.84,16.99,12.6
9.216,2.8,9.2192,2.864,2.03,17.18,15.4
9.224,3.01,9.2254,2.754,2.32,17.47,19.8
9.232,2.47,9.2308,2.782,2.25,17.4,18.7
9.24,2.59,9.236,2.774,2.27,17.42,19
9.2419,3.04,9.2396,2.742,2.35,17.5,20.3
9.242,2.76,9.2426,2.788,2.23,17.38,18.5
9.242,2.85,9.2456,2.754,2.32,17.47,19.8
9.247,2.7,9.2498,2.692,2.49,17.64,22.3
9.255,2.42,9.2552,2.662,2.57,17.72,23.5
9.263,2.73,9.2624,2.654,2.59,17.74,23.8
9.269,2.61,9.2696,2.662,2.57,17.72,23.5
9.278,2.81,9.2766,2.696,2.48,17.63,22.2
9.283,2.74,9.2834,2.694,2.48,17.63,22.2
9.29,2.59,9.2902,2.754,2.32,17.47,19.8
9.297,2.72,9.2963,2.754,2.32,17.47,19.8
9.303,2.91,9.3014,2.698,2.47,17.62,22.1
9.3084,2.81,9.305,2.704,2.46,17.61,21.8
9.3084,2.46,9.3076,2.718,2.42,17.57,21.3
9.3084,2.62,9.3091,2.694,2.48,17.63,22.2
9.31,2.79,9.3108,2.686,2.5,17.65,22.6
9.3103,2.79,9.3126,2.824,2.14,17.29,17
9.317,2.77,9.3153,2.896,1.94,17.09,14.2
9.3175,3.15,9.3176,2.91,1.91,17.06,13.6
9.3217,2.98,9.3204,2.934,1.84,16.99,12.6
9.3217,2.86,9.3232,2.832,2.11,17.26,16.7
9.324,2.91,9.3271,2.736,2.37,17.52,20.6
9.331,2.26,9.3313,2.708,2.45,17.6,21.7
9.337,2.67,9.3366,2.684,2.51,17.66,22.6
9.343,2.84,9.3415,2.636,2.64,17.79,24.6
9.348,2.74,9.3449,2.73,2.39,17.54,20.8
9.3483,2.67,9.3473,2.766,2.29,17.44,19.4
9.3483,2.73,9.3495,2.75,2.33,17.48,20
9.3488,2.85,9.3509,2.766,2.29,17.44,19.4
9.354,2.76,9.3531,2.792,2.22,17.37,18.3
9.3553,2.82,9.3564,2.76,2.31,17.46,19.6
9.359,2.8,9.3607,2.724,2.4,17.55,21
9.365,2.57,9.3649,2.774,2.27,17.42,19
9.37,2.67,9.371,2.794,2.22,17.37,18.2
9.375,3.01,9.3768,2.734,2.38,17.53,20.6
9.386,2.92,9.3814,2.74,2.36,17.51,20.4
9.388,2.5,9.3854,2.836,2.1,17.25,16.6
9.3881,2.6,9.3888,2.79,2.23,17.38,18.4
9.3898,3.15,9.391,2.79,2.23,17.38,18.4
9.392,2.78,9.393,2.862,2.03,17.18,15.5
9.397,2.92,9.3956,2.93,1.85,17,12.8
9.398,2.86,9.3983,2.85,2.07,17.22,16
9.4014,2.94,9.4007,2.862,2.03,17.18,15.5
9.403,2.75,9.4029,2.834,2.11,17.26,16.6
9.404,2.84,9.4053,2.866,2.02,17.17,15.4
9.408,2.78,9.4078,2.826,2.13,17.28,17
9.41,3.02,9.4101,2.8,2.2,17.35,18
9.414,2.74,9.4125,2.828,2.13,17.28,16.9
9.4147,2.62,9.4147,2.83,2.12,17.27,16.8
9.416,2.98,9.417,2.826,2.13,17.28,17
9.419,2.79,9.4187,2.822,2.14,17.29,17.1
9.4211,3,9.4208,2.884,1.98,17.13,14.6
9.4228,2.72,9.4232,2.792,2.22,17.37,18.3
9.425,2.93,9.4256,2.758,2.31,17.46,19.7
9.428,2.52,9.4284,2.674,2.54,17.69,23
9.431,2.62,9.4312,2.634,2.64,17.79,24.6
9.435,2.58,9.4346,2.57,2.81,17.96,27.2
9.437,2.52,9.4384,2.634,2.64,17.79,24.6
9.442,2.61,9.443,2.718,2.42,17.57,21.3
9.447,2.84,9.4482,2.75,2.33,17.48,20
9.454,3.04,9.4532,2.854,2.06,17.21,15.8
9.461,2.74,9.4574,2.888,1.97,17.12,14.5
9.462,3.04,9.4618,2.876,2,17.15,15
9.463,2.78,9.465,2.796,2.21,17.36,18.2
9.469,2.78,9.4668,2.788,2.23,17.38,18.5
9.47,2.64,9.4698,2.694,2.48,17.63,22.2
9.47,2.7,9.474,2.63,2.65,17.8,24.8
9.477,2.57,9.477,2.582,2.78,17.93,26.7
9.484,2.46,9.4811,2.574,2.8,17.95,27
9.484,2.54,9.4855,2.546,2.88,18.03,28.2
9.4903,2.6,9.4887,2.634,2.64,17.79,24.6
9.492,2.56,9.4918,2.674,2.54,17.69,23
9.4933,3.01,9.495,2.728,2.39,17.54,20.9
9.4994,2.66,9.4981,2.748,2.34,17.49,20.1
9.5,2.81,9.5013,2.754,2.32,17.47,19.8
9.506,2.7,9.5052,2.616,2.69,17.84,25.4
9.5078,2.59,9.5086,2.622,2.67,17.82,25.1
9.513,2.32,9.5119,2.542,2.89,18.04,28.3
9.5163,2.69,9.5147,2.55,2.87,18.02,28
9.5163,2.41,9.5185,2.582,2.78,17.93,26.7
9.52,2.74,9.5225,2.608,2.71,17.86,25.7
9.527,2.75,9.5261,2.63,2.65,17.8,24.8
9.5331,2.45,9.5297,2.782,2.25,17.4,18.7
9.534,2.8,9.5337,2.812,2.17,17.32,17.5
9.5342,3.17,9.5366,2.822,2.14,17.29,17.1
9.54,2.89,9.5395,3.056,1.52,16.67,7.8
9.5415,2.8,9.5427,3.012,1.63,16.78,9.5
9.548,3.62,9.5469,2.862,2.03,17.18,15.5
9.5499,2.58,9.5504,2.77,2.28,17.43,19.2
9.555,2.42,9.5538,2.76,2.31,17.46,19.6
9.5578,2.43,9.5568,2.618,2.69,17.84,25.3
9.5583,2.75,9.5599,2.712,2.43,17.58,21.5
9.563,2.91,9.5623,2.754,2.32,17.47,19.8
9.5655,3.05,9.5649,2.842,2.09,17.24,16.3
9.5668,2.63,9.5683,2.792,2.22,17.37,18.3
9.571,2.87,9.5715,2.772,2.27,17.42,19.1
9.5752,2.5,9.5751,2.736,2.37,17.52,20.6
9.579,2.81,9.579,2.74,2.36,17.51,20.4
9.5836,2.87,9.5832,2.778,2.26,17.41,18.9
9.586,2.65,9.5885,2.836,2.1,17.25,16.6
9.592,3.06,9.5947,2.794,2.22,17.37,18.2
9.602,2.79,9.6,2.758,2.31,17.46,19.7
9.61,2.6,9.605,2.712,2.43,17.58,21.5
9.61,2.69,9.61,2.65,2.6,17.75,24
9.611,2.42,9.613,2.564,2.83,17.98,27.4
9.6168,2.75,9.6158,2.486,3.04,18.19,30.6
9.617,2.36,9.6188,2.462,3.1,18.25,31.5
9.6244,2.21,9.6217,2.492,3.02,18.17,30.3
9.625,2.57,9.624,2.434,3.18,18.33,32.6
9.6251,2.57,9.6268,2.542,2.89,18.04,28.3
9.6287,2.46,9.6308,2.658,2.58,17.73,23.7
9.631,2.9,9.6356,2.682,2.51,17.66,22.7
9.644,2.79,9.6406,2.712,2.43,17.58,21.5
9.649,2.69,9.645,2.792,2.22,17.37,18.3
9.6505,2.72,9.6498,2.758,2.31,17.46,19.7
9.6505,2.86,9.653,2.738,2.37,17.52,20.5
9.655,2.73,9.6564,2.76,2.31,17.46,19.6
9.66,2.69,9.6607,2.764,2.3,17.45,19.4
9.666,2.8,9.6656,2.712,2.43,17.58,21.5
9.672,2.74,9.67,2.732,2.38,17.53,20.7
9.6748,2.6,9.6746,2.742,2.35,17.5,20.3
9.677,2.83,9.6792,2.72,2.41,17.56,21.2
9.6831,2.74,9.6826,2.72,2.41,17.56,21.2
9.689,2.69,9.6859,2.752,2.33,17.48,19.9
9.689,2.74,9.6895,2.684,2.51,17.66,22.6
9.6914,2.76,9.6931,2.65,2.6,17.75,24
9.695,2.49,9.6967,2.656,2.58,17.73,23.8
9.701,2.57,9.701,2.594,2.75,17.9,26.2
9.707,2.72,9.7051,2.588,2.77,17.92,26.5
9.7106,2.43,9.7097,2.57,2.81,17.96,27.2
9.712,2.73,9.7155,2.548,2.87,18.02,28.1
9.718,2.4,9.7207,2.53,2.92,18.07,28.8
9.73,2.46,9.7258,2.598,2.74,17.89,26.1
9.7328,2.63,9.7318,2.604,2.72,17.87,25.8
9.736,2.77,9.7378,2.714,2.43,17.58,21.4
9.742,2.76,9.7416,2.76,2.31,17.46,19.6
9.7481,2.95,9.7549,2.774,2.27,17.42,19
9.7493,2.69,9.7708,2.772,2.27,17.42,19.1
9.799,2.7,9.7855,2.72,2.41,17.56,21.2
9.8156,2.76,9.8003,2.582,2.78,17.93,26.7
9.8156,2.5,9.8185,2.578,2.79,17.94,26.9
9.822,2.26,9.8309,2.53,2.92,18.07,28.8
9.8404,2.67,9.8428,2.546,2.88,18.03,28.2
9.8609,2.46,9.856,2.618,2.69,17.84,25.3
9.8749,2.84,9.8696,2.71,2.44,17.59,21.6
9.8818,2.86,9.8829,2.702,2.46,17.61,21.9
9.8901,2.72,9.8937,2.742,2.35,17.5,20.3
9.9066,2.63,9.9065,2.7,2.47,17.62,22
9.9149,2.66,9.9214,2.654,2.59,17.74,23.8
9.9391,2.63,9.9346,2.59,2.76,17.91,26.4
9.9563,2.63,9.9479,2.614,2.7,17.85,25.4
9.9563,2.4,9.9628,2.658,2.58,17.73,23.7
9.9729,2.75,9.9762,2.646,2.61,17.76,24.2
9.9894,2.88,9.9894,2.624,2.67,17.82,25
10.006,2.57,10.0027,2.682,2.51,17.66,22.7
10.0226,2.52,10.0126,2.674,2.54,17.69,23
10.0226,2.69,10.0209,2.56,2.84,17.99,27.6
10.0226,2.71,10.0279,2.642,2.62,17.77,24.3
10.0308,2.31,10.0345,2.668,2.55,17.7,23.3
10.0408,2.98,10.0412,2.684,2.51,17.66,22.6
10.0557,2.65,10.0495,2.682,2.51,17.66,22.7
10.0562,2.77,10.0594,2.762,2.3,17.45,19.5
10.064,2.7,10.0674,2.72,2.41,17.56,21.2
10.0805,2.71,10.0757,2.688,2.5,17.65,22.5
10.0805,2.77,10.0855,2.702,2.46,17.61,21.9
10.0973,2.49,10.0955,2.704,2.46,17.61,21.8
10.1054,2.84,10.1037,2.682,2.51,17.66,22.7
10.1136,2.71,10.1137,2.628,2.66,17.81,24.9
10.1219,2.6,10.1203,2.636,2.64,17.79,24.6
10.1302,2.5,10.1269,2.644,2.62,17.77,24.2
10.1302,2.53,10.1352,2.644,2.62,17.77,24.2
10.1385,2.88,10.1443,2.69,2.49,17.64,22.4
10.155,2.71,10.1529,2.7,2.47,17.62,22
10.1676,2.83,10.1628,2.778,2.26,17.41,18.9
10.1732,2.55,10.1728,2.73,2.39,17.54,20.8
10.1799,2.92,10.1811,2.742,2.35,17.5,20.3
10.1882,2.64,10.1968,2.726,2.4,17.55,21
10.1964,2.77,10.2113,2.778,2.26,17.41,18.9
10.2461,2.75,10.2334,2.7,2.47,17.62,22
10.2461,2.81,10.2599,2.588,2.77,17.92,26.5
10.2903,2.53,10.2864,2.582,2.78,17.93,26.7
10.3206,2.08,10.303,2.584,2.78,17.93,26.6
10.3289,2.74,10.3204,2.592,2.75,17.9,26.3
10.3289,2.76,10.3314,2.624,2.67,17.82,25
10.3335,2.85,10.3364,2.722,2.41,17.56,21.1
10.345,2.69,10.3413,2.712,2.43,17.58,21.5
10.3455,2.57,10.3463,2.694,2.48,17.63,22.2
10.3538,2.69,10.352,2.71,2.44,17.59,21.6
10.3538,2.67,10.3587,2.72,2.41,17.56,21.2
10.362,2.93,10.367,2.712,2.43,17.58,21.5
10.3786,2.74,10.3736,2.63,2.65,17.8,24.8
10.3869,2.53,10.3852,2.614,2.7,17.85,25.4
10.3869,2.28,10.3985,2.468,3.09,18.24,31.3
10.4117,2.59,10.4117,2.406,3.25,18.4,33.8
10.4284,2.2,10.4233,2.396,3.28,18.43,34.2
10.4448,2.43,10.4366,2.448,3.14,18.29,32.1
10.4448,2.48,10.4463,2.5,3,18.15,30
10.4531,2.54,10.4529,2.518,2.95,18.1,29.3
10.4603,2.85,10.4563,2.548,2.87,18.02,28.1
10.4614,2.29,10.4613,2.56,2.84,17.99,27.6
10.4621,2.58,10.4646,2.542,2.89,18.04,28.3
10.4697,2.54,10.4781,2.55,2.87,18.02,28
10.4697,2.45,10.4913,2.624,2.67,17.82,25
10.5276,2.89,10.5127,2.66,2.57,17.72,23.6
10.5276,2.66,10.5346,2.662,2.57,17.72,23.5
10.569,2.76,10.5611,2.692,2.49,17.64,22.3
10.5792,2.55,10.5808,2.684,2.51,17.66,22.6
10.6022,2.6,10.6024,2.696,2.48,17.63,22.2
10.6262,2.85,10.6206,2.66,2.57,17.72,23.6
10.6353,2.72,10.6377,2.608,2.71,17.86,25.7
10.6601,2.58,10.6543,2.642,2.62,17.77,24.3
10.6648,2.29,10.6677,2.602,2.73,17.88,25.9
10.685,2.77,10.6793,2.602,2.73,17.88,25.9
10.6932,2.65,10.6865,2.564,2.83,17.98,27.4
10.6932,2.72,10.6938,2.616,2.69,17.84,25.4
10.6963,2.39,10.7005,2.598,2.74,17.89,26.1
10.7015,2.55,10.7054,2.544,2.88,18.03,28.2
10.7181,2.68,10.7174,2.526,2.93,18.08,29
10.7181,2.38,10.7287,2.606,2.72,17.87,25.8
10.753,2.63,10.7436,2.658,2.58,17.73,23.7
10.753,2.79,10.7569,2.632,2.65,17.8,24.7
10.776,2.81,10.7701,2.654,2.59,17.74,23.8
10.7843,2.55,10.778,2.596,2.74,17.89,26.2
10.7843,2.49,10.7901,2.488,3.03,18.18,30.5
10.7926,2.34,10.8035,2.466,3.09,18.24,31.4
10.8134,2.25,10.817,2.466,3.09,18.24,31.4
10.8428,2.7,10.8404,2.45,3.13,18.28,32
10.8517,2.55,10.8624,2.508,2.98,18.13,29.7
10.9013,2.41,10.8807,2.598,2.74,17.89,26.1
10.9029,2.63,10.8949,2.568,2.82,17.97,27.3
10.9047,2.7,10.9083,2.51,2.97,18.12,29.6
10.9141,2.55,10.9118,2.606,2.72,17.87,25.8
10.9185,2.26,10.9157,2.638,2.63,17.78,24.5
10.9189,2.89,10.9207,2.526,2.93,18.08,29
10.9223,2.79,10.9259,2.546,2.88,18.03,28.2
10.9297,2.14,10.9303,2.526,2.93,18.08,29
10.94,2.65,10.9365,2.436,3.17,18.32,32.6
10.9408,2.16,10.9491,2.378,3.33,18.48,34.9
10.9498,2.44,10.9609,2.384,3.31,18.46,34.6
10.985,2.5,10.9727,2.402,3.26,18.41,33.9
10.9891,2.17,10.9856,2.506,2.98,18.13,29.8
10.999,2.74,10.997,2.586,2.77,17.92,26.6
11.005,2.68,11.0024,2.598,2.74,17.89,26.1
11.0067,2.84,11.0083,2.632,2.65,17.8,24.7
11.012,2.56,11.0137,2.56,2.84,17.99,27.6
11.019,2.34,11.0193,2.532,2.91,18.06,28.7
11.026,2.38,11.0268,2.468,3.09,18.24,31.3
11.033,2.54,11.0335,2.5,3,18.15,30
11.044,2.52,11.0405,2.568,2.82,17.97,27.3
11.0457,2.72,11.0475,2.606,2.72,17.87,25.8
11.054,2.68,11.0547,2.536,2.9,18.05,28.6
11.061,2.57,11.0611,2.552,2.86,18.01,27.9
11.069,2.19,11.0688,2.482,3.05,18.2,30.7
11.076,2.6,11.0748,2.474,3.07,18.22,31
11.084,2.37,11.081,2.454,3.12,18.27,31.8
11.084,2.64,11.0856,2.558,2.85,18,27.7
11.092,2.47,11.0894,2.554,2.86,18.01,27.8
11.092,2.71,11.0926,2.602,2.73,17.88,25.9
11.0951,2.58,11.0972,2.596,2.74,17.89,26.2
11.1,2.61,11.1012,2.61,2.71,17.86,25.6
11.107,2.61,11.1064,2.546,2.88,18.03,28.2
11.112,2.54,11.112,2.522,2.94,18.09,29.1
11.118,2.39,11.118,2.472,3.07,18.22,31.1
11.123,2.46,11.1241,2.426,3.2,18.35,33
11.13,2.36,11.1295,2.404,3.26,18.41,33.8
11.1377,2.38,11.1338,2.46,3.11,18.26,31.6
11.139,2.43,11.1371,2.388,3.3,18.45,34.5
11.1393,2.67,11.1405,2.372,3.34,18.49,35.1
11.1395,2.1,11.1426,2.44,3.16,18.31,32.4
11.147,2.28,11.1464,2.416,3.22,18.37,33.4
11.1481,2.72,11.1501,2.39,3.29,18.44,34.4
11.158,2.31,11.1558,2.518,2.95,18.1,29.3
11.158,2.54,11.164,2.564,2.83,17.98,27.4
11.168,2.74,11.1762,2.458,3.11,18.26,31.7
11.188,2.51,11.1866,2.528,2.93,18.08,28.9
11.209,2.19,11.1973,2.62,2.68,17.83,25.2
11.21,2.66,11.2085,2.596,2.74,17.89,26.2
11.2116,3,11.2169,2.718,2.42,17.57,21.3
11.224,2.62,11.2211,2.748,2.34,17.49,20.1
11.23,3.12,11.2267,2.71,2.44,17.59,21.6
11.23,2.34,11.2334,2.618,2.69,17.84,25.3
11.238,2.47,11.2377,2.624,2.67,17.82,25
11.245,2.54,11.2423,2.51,2.97,18.12,29.6
11.2454,2.65,11.2483,2.564,2.83,17.98,27.4
11.253,2.55,11.2533,2.566,2.82,17.97,27.4
11.26,2.61,11.2577,2.54,2.89,18.04,28.4
11.2631,2.48,11.2634,2.516,2.96,18.11,29.4
11.267,2.41,11.269,2.508,2.98,18.13,29.7
11.274,2.53,11.2746,2.416,3.22,18.37,33.4
11.281,2.51,11.2799,2.476,3.06,18.21,31
11.288,2.15,11.2845,2.446,3.14,18.29,32.2
11.2896,2.78,11.2887,2.378,3.33,18.48,34.9
11.29,2.26,11.2925,2.37,3.35,18.5,35.2
11.295,2.19,11.2959,2.476,3.06,18.21,31
11.3,2.47,11.2998,2.406,3.25,18.4,33.8
11.305,2.68,11.3046,2.458,3.11,18.26,31.7
11.309,2.43,11.3088,2.534,2.91,18.06,28.6
11.314,2.52,11.312,2.608,2.71,17.86,25.7
11.3161,2.57,11.3148,2.532,2.91,18.06,28.7
11.3161,2.84,11.318,2.548,2.87,18.02,28.1
11.319,2.3,11.3208,2.558,2.85,18,27.7
11.325,2.51,11.324,2.568,2.82,17.97,27.3
11.328,2.57,11.3282,2.478,3.06,18.21,30.9
11.332,2.62,11.3321,2.582,2.78,17.93,26.7
11.337,2.39,11.3365,2.584,2.78,17.93,26.6
11.3384,2.82,11.3447,2.53,2.92,18.07,28.8
11.347,2.52,11.3522,2.512,2.97,18.12,29.5
11.3692,2.3,11.3596,2.536,2.9,18.05,28.6
11.3692,2.53,11.3675,2.538,2.9,18.05,28.5
11.3742,2.51,11.3737,2.606,2.72,17.87,25.8
11.378,2.83,11.3828,2.582,2.78,17.93,26.7
11.378,2.86,11.3921,2.636,2.64,17.79,24.6
